show_id;type;title;release_year;added_year;duration_value;movie_min;tv_seasons;CountryName;MovieClassification
s1;Movie;Dick Johnson Is Dead;2020;2021;90;90;NULL;United States;Documentaries
s10;Movie;The Starling;2021;2021;104;104;NULL;United States;Comedies
s10;Movie;The Starling;2021;2021;104;104;NULL;United States;Dramas
s100;TV Show;On the Verge;2021;2021;1;NULL;1;France;TV Comedies
s100;TV Show;On the Verge;2021;2021;1;NULL;1;United States;TV Comedies
s100;TV Show;On the Verge;2021;2021;1;NULL;1;France;TV Dramas
s100;TV Show;On the Verge;2021;2021;1;NULL;1;United States;TV Dramas
s1000;Movie;Stowaway;2021;2021;116;116;NULL;Germany;Dramas
s1000;Movie;Stowaway;2021;2021;116;116;NULL;United States;Dramas
s1000;Movie;Stowaway;2021;2021;116;116;NULL;Germany;International Movies
s1000;Movie;Stowaway;2021;2021;116;116;NULL;United States;International Movies
s1000;Movie;Stowaway;2021;2021;116;116;NULL;Germany;Thrillers
s1000;Movie;Stowaway;2021;2021;116;116;NULL;United States;Thrillers
s1001;Movie;Wild Dog;2020;2021;126;126;NULL;International;Action & Adventure
s1001;Movie;Wild Dog;2020;2021;126;126;NULL;International;International Movies
s1002;Movie;Oloibiri;2015;2021;86;86;NULL;Canada;Dramas
s1002;Movie;Oloibiri;2015;2021;86;86;NULL;Nigeria;Dramas
s1002;Movie;Oloibiri;2015;2021;86;86;NULL;United States;Dramas
s1002;Movie;Oloibiri;2015;2021;86;86;NULL;Canada;International Movies
s1002;Movie;Oloibiri;2015;2021;86;86;NULL;Nigeria;International Movies
s1002;Movie;Oloibiri;2015;2021;86;86;NULL;United States;International Movies
s1002;Movie;Oloibiri;2015;2021;86;86;NULL;Canada;Thrillers
s1002;Movie;Oloibiri;2015;2021;86;86;NULL;Nigeria;Thrillers
s1002;Movie;Oloibiri;2015;2021;86;86;NULL;United States;Thrillers
s1003;Movie;Tell Me When;2021;2021;97;97;NULL;Mexico;Comedies
s1003;Movie;Tell Me When;2021;2021;97;97;NULL;Mexico;International Movies
s1004;TV Show;Zero;2021;2021;1;NULL;1;Italy;International TV Shows
s1004;TV Show;Zero;2021;2021;1;NULL;1;Italy;TV Comedies
s1004;TV Show;Zero;2021;2021;1;NULL;1;Italy;TV Dramas
s1005;TV Show;Izzy's Koala World;2021;2021;2;NULL;2;Australia;Kids' TV
s1006;Movie;Keymon and Nani in Space Adventure;2013;2021;76;76;NULL;International;Children & Family Movies
s1006;Movie;Keymon and Nani in Space Adventure;2013;2021;76;76;NULL;International;Comedies
s1007;Movie;Motu Patlu Dino Invasion;2018;2021;80;80;NULL;International;Children & Family Movies
s1007;Movie;Motu Patlu Dino Invasion;2018;2021;80;80;NULL;International;Comedies
s1008;Movie;Motu Patlu in Octupus World;2017;2021;81;81;NULL;International;Children & Family Movies
s1008;Movie;Motu Patlu in Octupus World;2017;2021;81;81;NULL;International;Comedies
s1009;Movie;Motu Patlu VS Robo Kids;2019;2021;84;84;NULL;International;Children & Family Movies
s101;TV Show;Tobot Galaxy Detectives;2019;2021;2;NULL;2;International;Kids' TV
s1010;Movie;Rudra: Secret of the Black Moon;2020;2021;87;87;NULL;International;Children & Family Movies
s1011;Movie;Rudra: The Rise of King Pharaoh;2019;2021;91;91;NULL;International;Children & Family Movies
s1012;Movie;Free to Play;2014;2021;76;76;NULL;United States;Documentaries
s1013;TV Show;Luis Miguel - The Series;2021;2021;2;NULL;2;Mexico;International TV Shows
s1013;TV Show;Luis Miguel - The Series;2021;2021;2;NULL;2;Mexico;Spanish-Language TV Shows
s1013;TV Show;Luis Miguel - The Series;2021;2021;2;NULL;2;Mexico;TV Dramas
s1014;Movie;Miss Sloane;2016;2021;132;132;NULL;France;Thrillers
s1014;Movie;Miss Sloane;2016;2021;132;132;NULL;United States;Thrillers
s1014;Movie;Miss Sloane;2016;2021;132;132;NULL;United Kingdom;Thrillers
s1014;Movie;Miss Sloane;2016;2021;132;132;NULL;Canada;Thrillers
s1015;TV Show;PJ Masks;2019;2021;3;NULL;3;France;Kids' TV
s1015;TV Show;PJ Masks;2019;2021;3;NULL;3;United Kingdom;Kids' TV
s1016;Movie;American Me;1992;2021;126;126;NULL;United States;Dramas
s1017;Movie;Delhi Belly;2011;2021;101;101;NULL;India;Action & Adventure
s1017;Movie;Delhi Belly;2011;2021;101;101;NULL;India;Comedies
s1017;Movie;Delhi Belly;2011;2021;101;101;NULL;India;International Movies
s1018;Movie;Dhobi Ghat (Mumbai Diaries);2010;2021;102;102;NULL;India;Dramas
s1018;Movie;Dhobi Ghat (Mumbai Diaries);2010;2021;102;102;NULL;India;International Movies
s1019;Movie;Jaane Tu... Ya Jaane Na;2008;2021;147;147;NULL;India;Comedies
s1019;Movie;Jaane Tu... Ya Jaane Na;2008;2021;147;147;NULL;India;International Movies
s1019;Movie;Jaane Tu... Ya Jaane Na;2008;2021;147;147;NULL;India;Music & Musicals
s102;Movie;Untold: Breaking Point;2021;2021;80;80;NULL;United States;Documentaries
s102;Movie;Untold: Breaking Point;2021;2021;80;80;NULL;United States;Sports Movies
s1020;Movie;Lagaan;2001;2021;224;224;NULL;India;Dramas
s1020;Movie;Lagaan;2001;2021;224;224;NULL;United Kingdom;Dramas
s1020;Movie;Lagaan;2001;2021;224;224;NULL;India;International Movies
s1020;Movie;Lagaan;2001;2021;224;224;NULL;United Kingdom;International Movies
s1020;Movie;Lagaan;2001;2021;224;224;NULL;India;Music & Musicals
s1020;Movie;Lagaan;2001;2021;224;224;NULL;United Kingdom;Music & Musicals
s1021;Movie;Madness in the Desert;2004;2021;141;141;NULL;India;Documentaries
s1021;Movie;Madness in the Desert;2004;2021;141;141;NULL;India;International Movies
s1022;Movie;Peepli Live;2010;2021;109;109;NULL;India;Comedies
s1022;Movie;Peepli Live;2010;2021;109;109;NULL;India;Dramas
s1022;Movie;Peepli Live;2010;2021;109;109;NULL;India;Independent Movies
s1023;Movie;Taare Zameen Par;2007;2021;162;162;NULL;India;Dramas
s1023;Movie;Taare Zameen Par;2007;2021;162;162;NULL;India;International Movies
s1024;Movie;Ajeeb Daastaans;2021;2021;142;142;NULL;India;Dramas
s1024;Movie;Ajeeb Daastaans;2021;2021;142;142;NULL;India;Independent Movies
s1024;Movie;Ajeeb Daastaans;2021;2021;142;142;NULL;India;International Movies
s1025;Movie;Arlo the Alligator Boy;2021;2021;93;93;NULL;United States;Children & Family Movies
s1025;Movie;Arlo the Alligator Boy;2021;2021;93;93;NULL;United States;Comedies
s1025;Movie;Arlo the Alligator Boy;2021;2021;93;93;NULL;United States;Music & Musicals
s1026;TV Show;Bakugan: Geogan Rising;2021;2021;1;NULL;1;International;Anime Series
s1026;TV Show;Bakugan: Geogan Rising;2021;2021;1;NULL;1;International;Kids' TV
s1027;Movie;Barbie & Chelsea: The Lost Birthday;2021;2021;60;60;NULL;United States;Children & Family Movies
s1028;Movie;Crimson Peak;2015;2021;119;119;NULL;Canada;Horror Movies
s1028;Movie;Crimson Peak;2015;2021;119;119;NULL;United States;Horror Movies
s1028;Movie;Crimson Peak;2015;2021;119;119;NULL;Mexico;Horror Movies
s1028;Movie;Crimson Peak;2015;2021;119;119;NULL;Canada;Romantic Movies
s1028;Movie;Crimson Peak;2015;2021;119;119;NULL;United States;Romantic Movies
s1028;Movie;Crimson Peak;2015;2021;119;119;NULL;Mexico;Romantic Movies
s1028;Movie;Crimson Peak;2015;2021;119;119;NULL;Canada;Sci-Fi & Fantasy
s1028;Movie;Crimson Peak;2015;2021;119;119;NULL;United States;Sci-Fi & Fantasy
s1028;Movie;Crimson Peak;2015;2021;119;119;NULL;Mexico;Sci-Fi & Fantasy
s1029;Movie;Dad Stop Embarrassing Me - The Afterparty;2021;2021;37;37;NULL;International;Comedies
s103;TV Show;Countdown: Inspiration4 Mission to Space;2021;2021;1;NULL;1;International;Docuseries
s103;TV Show;Countdown: Inspiration4 Mission to Space;2021;2021;1;NULL;1;International;Science & Nature TV
s1030;Movie;Doctor Bello;2013;2021;96;96;NULL;United States;Dramas
s1030;Movie;Doctor Bello;2013;2021;96;96;NULL;United States;International Movies
s1031;Movie;Four Sisters Before the Wedding;2020;2021;116;116;NULL;Philippines;Children & Family Movies
s1031;Movie;Four Sisters Before the Wedding;2020;2021;116;116;NULL;Philippines;Comedies
s1031;Movie;Four Sisters Before the Wedding;2020;2021;116;116;NULL;Philippines;Dramas
s1032;Movie;Into the Beat;2020;2021;102;102;NULL;Germany;Dramas
s1032;Movie;Into the Beat;2020;2021;102;102;NULL;Germany;International Movies
s1032;Movie;Into the Beat;2020;2021;102;102;NULL;Germany;Romantic Movies
s1033;TV Show;Love Naggers;2021;2021;1;NULL;1;South Korea;International TV Shows
s1033;TV Show;Love Naggers;2021;2021;1;NULL;1;South Korea;Stand-Up Comedy & Talk Shows
s1034;Movie;Rush;2013;2021;123;123;NULL;United Kingdom;Action & Adventure
s1034;Movie;Rush;2013;2021;123;123;NULL;Germany;Action & Adventure
s1034;Movie;Rush;2013;2021;123;123;NULL;United States;Action & Adventure
s1034;Movie;Rush;2013;2021;123;123;NULL;United Kingdom;Dramas
s1034;Movie;Rush;2013;2021;123;123;NULL;Germany;Dramas
s1034;Movie;Rush;2013;2021;123;123;NULL;United States;Dramas
s1034;Movie;Rush;2013;2021;123;123;NULL;United Kingdom;International Movies
s1034;Movie;Rush;2013;2021;123;123;NULL;Germany;International Movies
s1034;Movie;Rush;2013;2021;123;123;NULL;United States;International Movies
s1035;Movie;Synchronic;2020;2021;102;102;NULL;United States;Thrillers
s1036;Movie;The Zookeeper's Wife;2017;2021;127;127;NULL;Czech Republic;Dramas
s1036;Movie;The Zookeeper's Wife;2017;2021;127;127;NULL;United Kingdom;Dramas
s1036;Movie;The Zookeeper's Wife;2017;2021;127;127;NULL;United States;Dramas
s1037;Movie;Time Trap;2017;2021;88;88;NULL;United States;Action & Adventure
s1037;Movie;Time Trap;2017;2021;88;88;NULL;United States;Sci-Fi & Fantasy
s1038;Movie;Tuesdays & Fridays;2021;2021;106;106;NULL;India;Comedies
s1038;Movie;Tuesdays & Fridays;2021;2021;106;106;NULL;India;Dramas
s1038;Movie;Tuesdays & Fridays;2021;2021;106;106;NULL;India;International Movies
s1039;TV Show;Dancing Angels;2016;2021;1;NULL;1;International;International TV Shows
s1039;TV Show;Dancing Angels;2016;2021;1;NULL;1;International;Romantic TV Shows
s1039;TV Show;Dancing Angels;2016;2021;1;NULL;1;International;TV Comedies
s104;Movie;Shadow Parties;2020;2021;117;117;NULL;International;Dramas
s104;Movie;Shadow Parties;2020;2021;117;117;NULL;International;International Movies
s104;Movie;Shadow Parties;2020;2021;117;117;NULL;International;Thrillers
s1040;Movie;Dark City Beneath the Beat;2020;2021;65;65;NULL;United States;Documentaries
s1040;Movie;Dark City Beneath the Beat;2020;2021;65;65;NULL;United States;Music & Musicals
s1041;TV Show;Durarara!!;2016;2021;1;NULL;1;Japan;Anime Series
s1041;TV Show;Durarara!!;2016;2021;1;NULL;1;Japan;Crime TV Shows
s1041;TV Show;Durarara!!;2016;2021;1;NULL;1;Japan;International TV Shows
s1042;Movie;GANTZ:O;2016;2021;96;96;NULL;Japan;Action & Adventure
s1042;Movie;GANTZ:O;2016;2021;96;96;NULL;Japan;Anime Features
s1042;Movie;GANTZ:O;2016;2021;96;96;NULL;Japan;Horror Movies
s1043;TV Show;Garth Brooks: The Road I’m On;2019;2021;1;NULL;1;United States;Docuseries
s1044;TV Show;Gilmore Girls;2006;2021;7;NULL;7;United States;Romantic TV Shows
s1044;TV Show;Gilmore Girls;2006;2021;7;NULL;7;United States;TV Comedies
s1044;TV Show;Gilmore Girls;2006;2021;7;NULL;7;United States;TV Dramas
s1045;TV Show;High-Rise Invasion;2021;2021;1;NULL;1;Japan;Anime Series
